         1                             0
         2                             0
         3                             0
         4                             0
         5                             0
         6         -7.51754214434186e-12
         7         3.126388037344441e-13
         8        -6.693312570860144e-12
         9        -5.755396159656812e-12
        13        -4.984457291357103e-12
        14         3.268496584496461e-13
        15        -1.016076112136943e-11
        25                             0
        26                             0
        27                             0
        28                             0
        29                             0
        30                             0
        33                             0
        34                             0
        10                             0
        11        -5.542233338928781e-12
        12        -2.899014361901209e-12
        16        -1.520561454526614e-12
        17        -2.557953848736361e-13
        18        -8.469669410260394e-12
        19        -2.842170943040401e-13
        20        -4.831690603168681e-12
        21        -7.005951374594588e-12
        22        -3.197442310920451e-12
        23        -4.632738637155853e-12
        24         -6.52278231427772e-12
        31                             0
        32                             0
        35                             0
        36                             0
        37                             0
        38                             0
        39                             0
        40                             0
