"flux_phi_1:0","flux_phi_1:1","flux_phi_1:2","flux_phi_2:0","flux_phi_2:1","flux_phi_2:2","flux_phi_3:0","flux_phi_3:1","flux_phi_3:2","phi_1","phi_2","phi_3","Points:0","Points:1","Points:2"
-0.072742,-0,-0,0,0,0,0.0029388,0,0,0.44321,0,0.64256,1,0.5,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.43895,0,0.6426,0.95,0.5,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.43867,0,0.64237,0.95,0.45,0,1.0e-14
-0.073039,-0,-0,0,0,0,0.002934,0,0,0.44307,0,0.64233,1,0.45,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.38507,0,0.6431,0.9,0.5,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.38467,0,0.64288,0.9,0.45,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.35778,0,0.64385,0.85,0.5,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.35731,0,0.64364,0.85,0.45,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.3235,0,0.64477,0.8,0.5,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.32298,0,0.64457,0.8,0.45,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.29219,0,0.64583,0.75,0.5,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.29165,0,0.64565,0.75,0.45,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.26329,0,0.64701,0.7,0.5,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.26276,0,0.64685,0.7,0.45,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.23631,0,0.64828,0.65,0.5,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.2358,0,0.64813,0.65,0.45,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.21144,0,0.64959,0.6,0.5,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.21096,0,0.64947,0.6,0.45,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.18875,0,0.65093,0.55,0.5,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.18831,0,0.65082,0.55,0.45,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.16823,0,0.65224,0.5,0.5,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.16783,0,0.65214,0.5,0.45,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.14984,0,0.65351,0.45,0.5,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.14948,0,0.65343,0.45,0.45,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.13354,0,0.65471,0.4,0.5,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.13322,0,0.65463,0.4,0.45,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.1193,0,0.65581,0.35,0.5,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.11902,0,0.65574,0.35,0.45,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.10706,0,0.6568,0.3,0.5,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.10682,0,0.65674,0.3,0.45,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.096798,0,0.65767,0.25,0.5,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.096576,0,0.65761,0.25,0.45,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.088459,0,0.65839,0.2,0.5,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.088258,0,0.65834,0.2,0.45,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.082012,0,0.65897,0.15,0.5,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.081828,0,0.65892,0.15,0.45,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.077428,0,0.65938,0.1,0.5,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.077256,0,0.65934,0.1,0.45,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.074687,0,0.65963,0.05,0.5,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.074522,0,0.65959,0.05,0.45,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.073774,0,0.65972,0,0.5,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.073612,0,0.65968,0,0.45,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.4378,0,0.64168,0.95,0.4,0,1.0e-14
-0.073958,-0,-0,0,0,0,0.0029194,0,0,0.44262,0,0.64163,1,0.4,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.38346,0,0.64221,0.9,0.4,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.35585,0,0.643,0.85,0.4,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.32139,0,0.64398,0.8,0.4,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.29001,0,0.64511,0.75,0.4,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.26114,0,0.64637,0.7,0.4,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.23426,0,0.64771,0.65,0.4,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.20953,0,0.64909,0.6,0.4,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.187,0,0.65049,0.55,0.4,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.16665,0,0.65186,0.5,0.4,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.14843,0,0.65317,0.45,0.4,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.13229,0,0.65441,0.4,0.4,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.11818,0,0.65555,0.35,0.4,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.10608,0,0.65657,0.3,0.4,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.095915,0,0.65746,0.25,0.4,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.087661,0,0.6582,0.2,0.4,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.08128,0,0.65879,0.15,0.4,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.076744,0,0.65921,0.1,0.4,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.07403,0,0.65947,0.05,0.4,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.073127,0,0.65956,0,0.4,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.43626,0,0.64052,0.95,0.35,0,1.0e-14
-0.075594,-0,-0,0,0,0,0.0028948,0,0,0.44182,0,0.64046,1,0.35,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.38133,0,0.6411,0.9,0.35,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.35332,0,0.64195,0.85,0.35,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.31864,0,0.64301,0.8,0.35,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.2872,0,0.64423,0.75,0.35,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.2584,0,0.64557,0.7,0.35,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.23166,0,0.647,0.65,0.35,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.20713,0,0.64847,0.6,0.35,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.18482,0,0.64994,0.55,0.35,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.16469,0,0.65138,0.5,0.35,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.14668,0,0.65276,0.45,0.35,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.13074,0,0.65405,0.4,0.35,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.11681,0,0.65523,0.35,0.35,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.10486,0,0.65628,0.3,0.35,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.094826,0,0.6572,0.25,0.35,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.086679,0,0.65797,0.2,0.35,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.08038,0,0.65857,0.15,0.35,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.075901,0,0.65901,0.1,0.35,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.073223,0,0.65927,0.05,0.35,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.072331,0,0.65936,0,0.35,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.43389,0,0.6389,0.95,0.3,0,1.0e-14
-0.07813,-0,-0,0,0,0,0.0028593,0,0,0.44059,0,0.63881,1,0.3,0,1.0e-14
